ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,CPI came down,CPI came down_lower,CPI came down_upper,FOMC Meeting,FOMC Meeting_lower,FOMC Meeting_upper,German Government sell Bitcoin,German Government sell Bitcoin_lower,German Government sell Bitcoin_upper,Held steady,Held steady_lower,Held steady_upper,Raise +25 bps,Raise +25 bps_lower,Raise +25 bps_upper,eth lauch date,eth lauch date_lower,eth lauch date_upper,halved,halved_lower,halved_upper,holidays,holidays_lower,holidays_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat,y_moving_avg_7,y_moving_avg_14,y_moving_avg_28,y_moving_avg_90
2016-07-05T00:00:00Z,481.0695748685349,-5810.498846730354,6412.258809922099,481.0695748685349,481.0695748685349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.11368804435125979,-0.11368804435125979,-0.11368804435125979,0.002703720293995621,0.002703720293995621,0.002703720293995621,-0.1163917646452554,-0.1163917646452554,-0.1163917646452554,0,0,0,426.3777157048392,422.88371489746174,425.43802793802575,439.06353280207503,450.3656974558799
2016-07-06T00:00:00Z,482.4696958494654,-5794.846478947234,6804.451028911265,482.4696958494654,482.4696958494654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.11157846837938387,-0.11157846837938387,-0.11157846837938387,0.004126778613798713,0.004126778613798713,0.004126778613798713,-0.11570524699318258,-0.11570524699318258,-0.11570524699318258,0,0,0,428.63646614711485,423.4962921522473,424.90784652296486,437.73431602768926,449.9970541766444
2016-07-07T00:00:00Z,483.86981683039596,-5658.382451692959,6444.781919433142,483.86981683039596,483.86981683039596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.11377081612917264,-0.11377081612917264,-0.11377081612917264,0.0007129040000033186,0.0007129040000033186,0.0007129040000033186,-0.11448372012917596,-0.11448372012917596,-0.11448372012917596,0,0,0,428.81955286932856,424.42565385949155,424.67798786378324,436.48945074045463,449.6312263109323
2016-07-08T00:00:00Z,485.26993781132643,-5690.586116790259,6575.949110090094,485.26993781132643,485.26993781132643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.11517385764258559,-0.11517385764258559,-0.11517385764258559,-0.002376340849487102,-0.002376340849487102,-0.002376340849487102,-0.11279751679309848,-0.11279751679309848,-0.11279751679309848,0,0,0,429.37952707561834,425.6541460272994,424.75108613283555,435.3495196259358,449.2711209709236
2016-07-09T00:00:00Z,486.67005879225695,-5584.694310828143,7064.146717338478,486.67005879225695,486.67005879225695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133416,0.133416,0.133416,0.133416,0.133416,0.133416,0.017754368524246666,0.017754368524246666,0.017754368524246666,-0.004939669081784023,-0.004939669081784023,-0.004939669081784023,-0.11072196239396932,-0.11072196239396932,-0.11072196239396932,0,0,0,495.3105783657715,436.43534235525976,429.7626508553687,436.6526287904209,449.62308327945755
2016-07-10T00:00:00Z,488.0701797731874,-5722.061180417653,6436.64833344274,488.0701797731874,488.0701797731874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.11065290528720459,-0.11065290528720459,-0.11065290528720459,-0.0023172220538049152,-0.0023172220538049152,-0.0023172220538049152,-0.10833568323339968,-0.10833568323339968,-0.10833568323339968,0,0,0,434.063796397236,438.1982605972048,430.4361822742475,435.78469007032226,449.2674668384189
2016-07-11T00:00:00Z,489.4703007541179,-5938.195231893503,6242.177155656826,489.4703007541179,489.4703007541179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10362907499125391,-0.10362907499125391,-0.10362907499125391,0.0020898290772683368,0.0020898290772683368,0.0020898290772683368,-0.10571890406852225,-0.10571890406852225,-0.10571890406852225,0,0,0,438.7469462512778,440.19065468731236,431.3991257324168,435.0813490181058,448.9527318637165
2016-07-12T00:00:00Z,490.87042173504847,-5674.9481392956095,6373.183292597934,490.87042173504847,490.87042173504847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10024805443893203,-0.10024805443893203,-0.10024805443893203,0.0027037202939935974,0.0027037202939935974,0.0027037202939935974,-0.10295177473292563,-0.10295177473292563,-0.10295177473292563,0,0,0,441.6616169744918,442.3740691544055,432.6288920259336,434.54906508331624,448.6566976811382
2016-07-13T00:00:00Z,492.27054271597893,-5496.289518069464,6864.583966440856,492.27054271597893,492.27054271597893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.09598598510416391,-0.09598598510416391,-0.09598598510416391,0.004126778613798121,0.004126778613798121,0.004126778613798121,-0.10011276371796203,-0.10011276371796203,-0.10011276371796203,0,0,0,445.0194697356243,444.7144982384783,434.1053951953628,434.1981092240342,448.404762073645
2016-07-14T00:00:00Z,493.6706636969095,-5828.980805275442,6671.587752504846,493.6706636969095,493.6706636969095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.09656424990310325,-0.09656424990310325,-0.09656424990310325,0.0007129040000036663,0.0007129040000036663,0.0007129040000036663,-0.09727715390310691,-0.09727715390310691,-0.09727715390310691,0,0,0,445.9997263578503,447.1688087368385,435.79723129816506,434.028098501144,448.17020468922397
2016-07-15T00:00:00Z,495.07078467784,-5254.9121335409145,7263.724573456819,495.07078467784,495.07078467784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.09689201294886231,-0.09689201294886231,-0.09689201294886231,-0.0023763408494909557,-0.0023763408494909557,-0.0023763408494909557,-0.09451567209937135,-0.09451567209937135,-0.09451567209937135,0,0,0,447.1023797982313,449.700644840069,437.6773954336842,434.0430657713796,447.9533416956178
