ds,y,y_moving_avg_7,y_moving_avg_14,y_moving_avg_28,y_moving_avg_90
2023-08-08,29592.5928203094,29370.658256972994,29251.451683238087,29300.187472090554,29920.976940698496
2023-08-08,29990.75,29296.927918924834,29252.766481787414,29288.926872919306,29936.196598268514
2023-08-08,29620.650315031504,29162.150075879716,29196.038137659874,29263.90598626117,29950.25215382407
2023-08-07,29032.532692307694,29078.04082156246,29183.118812436536,29253.875848589483,29964.41426845581
2023-08-07,29303,29091.035359557656,29256.25933441456,29264.072363445866,29992.075016319057
2023-08-07,28998.73654329339,29094.142502414797,29265.813932566092,29264.43058699465,30009.613450793255
2023-08-06,29056.345427868982,29113.226237730967,29268.07492178958,29276.06743961636,30030.1200817937
2023-08-06,29076.480453972257,29132.245109503176,29266.211039549184,29298.715817192464,30046.385379305684
2023-08-05,29047.30509868421,29208.605044649994,29282.319578551167,29302.19678676958,30062.440269875733
2023-08-05,29031.885534810677,29229.92619944003,29301.75660442362,29306.64685937591,30078.480088071065
2023-08-04,29123.494458274065,29288.196803310617,29322.81124304739,29333.04678075172,30094.74581988027
2023-08-04,29324.75,29421.48330927146,29332.765547075862,29340.29367238736,30115.445881455005
2023-08-04,29132.3226905066,29437.485362717383,29327.110285727857,29340.3739754473,30135.417346101465
2023-08-03,29189.477530274413,29422.923605848187,29340.136717187113,29371.25550213969,30154.320308270446
2023-08-03,29611,29400.1769695952,29348.923260943022,29399.888590372295,30168.648988653775
2023-08-03,29196.553182214473,29356.034112452344,29325.08726405119,29408.04983970349,30178.52705956388
2023-08-02,29439.779761904763,29373.5870094072,29331.773834862463,29431.263198299966,30192.621192691582
2023-08-02,30056.5,29357.425682784164,29324.632884742427,29445.585677134757,30204.011855375455
